Stage,Time,Length,Company,Date,Speaker
Monday 13 July,,,,,
Stage,Time,Length,Company,,Speaker
Demo Stage,18:45 - 18:50,5 mins,Unitree Sponsor Spotlight / Industry Talk,July 13,TBA
,,,,,
Tuesday 14 July,,,,,
Stage,Time,Length,Company,,
Pyrmont Theatre,11:40 - 11:45,5 mins,AGIBOT Platinum Sponsor Address,Tuesday 14 July,Dr. Jianlan Luo
Demo Stage,13:00 - 13:10,10 mins,AGIBOT Sponsor Spotlight / Industry Talk,July 14,Gary Sun
Demo Stage,16:20 - 16:30,10 mins,Spirit AI Sponsor Spotlight / Industry Talk,July 14,Yang Gao
Pyrmont Theatre,17:40 - 17:45,5 mins,Sharpa Platinum Sponsor Address,Tuesday 14 July,"Yunfang Yang, Ph.D"
Demo Stage,18:45 - 18:50,5 mins,Anduril Sponsor Spotlight,July 14,Martin Szarski
,,,,,
Wednesday 15 July,,,,,
Stage,Time,Length,Company,,
Pyrmont Theatre,11:40 - 11:45,5 mins,TRI Platinum Sponsor Address,Wednesday 15 July,Dr. Masha Itkina
Demo Stage,13:00 - 13:10,10 mins,TRI Sponsor Spotlight / Industry Talk,July 15,Dr. Masha Itkina
Pyrmont Theatre,17:40 - 17:45,5 mins,Spirit AI Platinum Sponsor Address,Wednesday 15 July,Yang Gao
,,,,Wednesday 15 July,
C2.2 & C2.3,19:00 - 19:30,30 mins,Connect with NVIDIA Talk,Wednesday 15 July,Dr. Tomasz Bednarz
,,,,,
Thursday 16 July,,,,,
Stage,Time,Length,Company,,
Demo Stage,13:00 - 13:10,10 mins,Sharpa Sponsor Spotlight / Industry Talk,July 16,Kaifeng Zhang
Demo Stage,16:20 - 16:25,5 mins,Robbyant Sponsor Spotlight / Industry Talk,July 16,TBA
